iter	Passed	Remaining
0	150	150606
1	151	75630
2	152	50576
3	152	38060
4	153	30548
5	153	25511
6	154	21939
7	155	19259
8	155	17155
9	156	15490
10	156	14112
11	157	12993
12	158	12029
13	158	11195
14	159	10467
15	159	9832
16	160	9275
17	160	8775
18	161	8330
19	161	7933
20	162	7572
21	162	7241
22	163	6940
23	163	6662
24	164	6412
25	165	6186
26	165	5973
27	166	5770
28	166	5585
29	167	5410
30	168	5253
31	168	5108
32	169	4967
33	170	4832
34	170	4710
35	172	4607
36	173	4505
37	173	4401
38	174	4297
39	175	4200
40	175	4105
41	176	4017
42	176	3933
43	177	3853
44	177	3777
45	178	3709
46	179	3639
47	179	3569
48	180	3502
49	180	3437
50	181	3384
51	182	3331
52	183	3277
53	184	3226
54	184	3176
55	185	3129
56	186	3085
57	187	3037
58	187	2990
59	188	2947
60	188	2903
61	189	2863
62	189	2823
63	190	2784
64	190	2745
65	191	2707
66	191	2673
67	192	2642
68	193	2609
69	193	2577
70	194	2545
71	195	2515
72	195	2487
73	196	2460
74	197	2432
75	198	2408
76	198	2382
77	199	2357
78	200	2342
79	201	2320
80	202	2295
81	202	2272
82	203	2247
83	204	2224
84	204	2201
85	205	2178
86	205	2156
87	205	2134
88	206	2114
89	207	2097
90	207	2076
91	208	2058
92	209	2041
93	209	2024
94	210	2006
95	211	1990
96	212	1974
97	212	1956
98	213	1938
99	213	1923
100	214	1909
101	215	1893
102	215	1880
103	216	1865
104	217	1850
105	217	1837
106	218	1822
107	218	1808
108	219	1794
109	219	1779
110	220	1765
111	221	1752
112	221	1738
113	222	1725
114	222	1712
115	223	1699
116	223	1686
117	224	1674
118	224	1663
119	225	1651
120	225	1640
121	226	1628
122	227	1619
123	227	1610
124	228	1600
125	229	1589
126	229	1578
127	230	1568
128	230	1558
129	231	1548
130	231	1538
131	232	1528
132	233	1518
133	233	1509
134	234	1499
135	234	1490
136	235	1482
137	235	1473
138	236	1464
139	237	1455
140	237	1447
141	237	1437
142	238	1428
143	238	1419
144	239	1410
145	239	1402
146	240	1393
147	240	1385
148	241	1377
149	241	1371
150	242	1364
151	243	1357
152	244	1351
153	244	1345
154	245	1338
155	246	1333
156	247	1326
157	247	1320
158	248	1313
159	249	1307
160	249	1300
161	250	1293
162	250	1287
163	251	1280
164	251	1274
165	252	1268
166	253	1262
167	253	1256
168	254	1250
169	254	1244
170	255	1239
171	256	1234
172	257	1229
173	257	1224
174	258	1218
175	259	1212
176	259	1208
177	260	1203
178	261	1199
179	262	1194
180	262	1189
181	263	1184
182	264	1179
183	264	1174
184	265	1169
185	266	1164
186	266	1158
187	267	1153
188	267	1149
189	268	1144
190	269	1140
191	269	1135
192	270	1130
193	270	1125
194	271	1121
195	272	1117
196	273	1113
197	273	1109
198	274	1105
199	275	1101
200	276	1097
201	276	1093
202	277	1089
203	277	1084
204	278	1080
205	279	1075
206	279	1071
207	280	1066
208	280	1062
209	281	1057
210	281	1053
211	282	1049
212	282	1045
213	283	1040
214	283	1036
215	284	1032
216	285	1028
217	285	1024
218	286	1020
219	287	1017
220	288	1015
221	288	1012
222	289	1008
223	289	1004
224	290	1000
225	291	997
226	291	993
227	292	989
228	293	986
229	293	983
230	294	979
231	294	976
232	295	972
233	296	968
234	296	965
235	297	961
236	297	957
237	298	954
238	298	951
239	299	948
240	299	944
241	300	941
242	301	938
243	301	935
244	302	932
245	303	929
246	303	926
247	304	923
248	305	920
249	305	916
250	306	913
251	306	910
252	307	906
253	307	903
254	308	900
255	308	897
256	309	894
257	309	891
258	310	888
259	311	885
260	311	882
261	312	879
262	312	876
263	313	873
264	314	871
265	314	868
266	315	865
267	315	862
268	316	860
269	317	858
270	318	855
271	318	853
272	319	850
273	320	847
274	320	845
275	321	842
276	321	839
277	322	836
278	322	834
279	323	831
280	324	829
281	324	826
282	325	824
283	326	821
284	326	819
285	327	816
286	327	814
287	328	812
288	329	809
289	329	807
290	330	804
291	331	802
292	331	801
293	332	799
294	333	797
295	334	795
296	335	793
297	335	790
298	336	788
299	336	786
300	337	783
301	337	781
302	338	778
303	339	776
304	339	773
305	340	771
306	340	768
307	341	766
308	341	764
309	342	761
310	342	759
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	347	742
319	348	740
320	349	738
321	349	736
322	350	734
323	350	732
324	351	730
325	352	728
326	352	726
327	353	724
328	353	721
329	354	719
330	355	717
331	355	715
332	356	713
333	356	711
334	357	709
335	357	707
336	358	704
337	358	702
338	359	700
339	360	698
340	360	696
341	360	694
342	361	692
343	362	690
344	362	688
345	363	686
346	363	684
347	364	683
348	365	681
349	365	679
350	366	677
351	367	676
352	368	674
353	368	672
354	369	670
355	369	668
356	370	667
357	370	665
358	371	663
359	371	661
360	372	659
361	373	657
362	373	655
363	374	653
364	375	652
365	375	651
366	376	649
367	377	647
368	378	646
369	378	645
370	379	643
371	380	642
372	381	640
373	381	638
374	382	637
375	383	635
376	383	634
377	384	632
378	384	630
379	385	629
380	386	627
381	387	626
382	387	624
383	388	622
384	388	621
385	389	619
386	389	617
387	390	615
388	390	614
389	391	612
390	392	611
391	393	609
392	393	608
393	394	606
394	394	604
395	395	603
396	395	601
397	396	599
398	396	597
399	397	596
400	397	594
401	398	592
402	399	591
403	399	589
404	400	587
405	400	585
406	400	584
407	401	582
408	402	580
409	402	579
410	403	577
411	403	575
412	404	574
413	404	572
414	405	571
415	405	569
416	406	568
417	406	566
418	407	564
419	407	563
420	408	561
421	409	560
422	409	559
423	410	557
424	411	556
425	411	554
426	412	553
427	412	551
428	413	550
429	414	548
430	414	547
431	415	545
432	415	544
433	416	542
434	416	541
435	417	539
436	417	538
437	418	536
438	418	535
439	419	533
440	419	532
441	420	530
442	421	529
443	421	527
444	422	526
445	422	525
446	423	524
447	424	522
448	424	521
449	425	519
450	425	518
451	426	517
452	427	515
453	427	514
454	428	513
455	428	511
456	429	510
457	429	508
458	430	507
459	430	505
460	431	504
461	431	503
462	432	501
463	433	500
464	433	499
465	434	497
466	434	496
467	435	494
468	435	493
469	436	492
470	436	490
471	437	489
472	438	488
473	438	486
474	439	485
475	439	484
476	440	483
477	441	481
478	441	480
479	442	479
480	442	477
481	443	476
482	443	475
483	444	473
484	445	472
485	445	471
486	446	469
487	446	468
488	447	467
489	447	465
490	448	464
491	448	463
492	449	462
493	449	460
494	450	459
495	450	458
496	451	456
